,Comment,Label
44,"Hơn 20 năm trước mình cùng ba ngồi coi phần 1 trên TV, khi đó mới tí tuổi đầu chưa hiểu gì về danh dự võ sĩ mà vẫn ấn tượng và ghi nhớ mãi về người anh hùng Maximus. Người chống mất vợ, người cha mất con, người tướng mất chủ nhưng vẫn hiên ngang ngẩng cao đầu.
Tuần rồi quyết đưa cha xem tiếp phần 2 để ôn lại kỷ niệm xưa thì quả thật bức xúc tới nỗi muốn nắm tay ba bỏ về giữa buổi.
Ở phần 1 mình ấn tượng nhất là phân đoạn Maximus quyết tâm cứu Lucius vì nghĩ tới con trai đã mất của mình, đồng cảm với hoàn cảnh của cậu bé, vì biết cậu cũng ko còn cha. Sự thương cảm đó là tình cảm giữa con người với con người, thứ mà Commodus đã đánh mất trên con đường chiếm đoạt ngôi báu của mình.
Vậy mà qua đây thì bảo ông hi sinh để bảo vệ 'con trai', chẳng khác nào cú vả đau vào mặt những người hâm mộ và kính nể vì lòng thương người của ông. Ông thương cảm Lucius vì ông đã nếm trải nỗi đau mất vợ con nên ko muốn nỗi đau đó lặp lại với bất kỳ người mẹ người cha nào khác, chứ ko phải tầm thường như máu mủ ruột rà nên mới cứu, còn nếu ko chắc ngoảnh mặt đi.
Tiếc cho bản hùng thi của phần 1 bị đem ra làm chiêu trò hút máu cho phần phim này",negative
45,CGI là thứ giết chết điện ảnh nếu lạm dụng.,negative
46,"Gladiator II là một sản phẩm không nên tồn tại ngay từ đầu. Một tác phẩm thể loại sử thi.....mà sai sử đến 90%, không nắm bắt được cốt lõi thành công của phần I mà lại mang kỳ vọng kế thừa nó. Cứ như rằng nói con ông hàng xóm phải giống ông chồng nhà cạnh bên??? Làm phim cho khán giả chứ không phải cho sử gia. Đúng, nhưng khán giả lại không thích điều đó. Thật đáng tiếc cho Ridley Scott, khi mà giờ đây tên tuổi ông đại diện cho sự ""ngu ngốc"" và ""ngạo mạn""",negative
47,Nói chung là muốn xem trọn vẹn thì bà con tốt nhất nên Bỏ Não ở nhà và đừng ham hố xem lại phần 1,negative
48,"Mình chấm 8 điểm. Đoạn cuối, khi đôi bàn tay lướt trên ngọn lúa mì, làm mình ứa nước mắt như sống tuổi thơ. Chỉ vì yêu thôi",positive
49,Ko hiểu gì nhưng thấy combat hoành tráng vãi,positive
51,Ít nhất đỡ hơn mấy cái phim Việt,neutral
52,Film mới thu đc hơn 200 triệu $ flop là chắc rồi,neutral
53,"Mình xem phần 1 tới gần chục lần, thấy hay, rất hay. Xem phần 2 thật sự thấy khiên cưỡng, diễn biến và lời thoại thua kém rất nhiều. Cảm ơn trang đã có những nhận xét đánh giá rất khách quan và truyền tải được nhiều thông tin tới người nghe. Cảm ơn rất nhiều!",neutral
54,"Chê mạnh diễn xuất phim này. 1/ Nhân vật chính diễn non quá, ko ra cái thần của chiến binh. 2/ Phản diện chính thì ko có động cơ, quá khứ gì rõ ràng, còn diễn các nét hiện đại, xem sượng trân.",negative
55,"Phim này xem giải trí tách bạch hoàn toàn với phần 1 thì còn tạm, chứ nếu mà xem với tâm lý so sánh với phần 1 thì chỉ có nản từ đầu tới cuối: nhiều chi tiết làm lố, hô hào khẩu hiệu sáo rỗng (như đoạn nv chính bị quật ngã ở đấu trường rồi cái speech ở cuối phim), motif bị lặp lại (bà Lucilla ủ mưu lật đổ vua), nhân vật thì xây dựng thiếu chiều sâu, thiếu thuyết phục, gượng, nhân vật thiếu động cơ (2 ô hoàng đế vì sao mà ác thế ??? Tại sao Lucius lại nhận đc sự kính trọng từ những đấu sĩ khác thế ??? (aura nv chính à), ông Acacius sao mà căm thù 2 ô hoàng đế thế, 2 ô ý ác thật nhưng có làm hại gì đến ông tướng này đâu ???",negative
56,"thích paul mescal từ normal people, và sau khi xem phim gladiator này xong thì vẫn khẳng định thích bạn này vì normal people 😂",neutral
57,Nói chung thua phần 1 nhiều,negative
58,"Xem lậu phim này đúng kiểu cực hình luôn, má ta nói trên mạng chỉ có đúng 1 đứa làm sub mà sub như sh*t mà trang nào cũng lấy sub đó hết",negative
59,Phần này dỡ quá tiếc thật 😢,negative
7,Đây là một bộ phim đầy tính nghệ thuật nên coi nó xong nhiều người sẽ không hiểu đc hết ý nghĩa của câu chuyện nên bài review này thật sự rất cần thiết cho người muốn đi coi bộ phim này ❤,positive
14,"Đã từng được xem các tác phẩm trước và trao đổi với anh Lân mới thấy được đây là một trong số rất rất ít đạo diễn hiện đại của Việt Nam thực sự hiểu điện ảnh là như thế nào. Dù hơi tiếc là phần lớn người xem Việt Nam chỉ xem phim như 1 công cụ giải trí nhất thời, mình vẫn hi vọng anh Lân sẽ được tiếp tục làm các dự án lớn và đi xa hơn nữa",positive
15,cảnh chú rể hát ở đám cưới thật sự ám ảnh tôi 😔,neutral
16,"Ngày xưa hồi bé thích nghe bà kể chuyện ngày xưa,lên cấp 3 nổi loạn lại bắt đầu ngỗ nghịch với bà, bà nói không nghe, bà mất được mấy năm rồi mà vẫn nhớ bà quá,giá mà ngày xưa đối với bà tốt hơn chút,dành bà nhiều thời gian hơn chút",positive
21,"bộ phim khá dễ xem, trc khi xem được xem 1 vài đoạn cắt nhỏ mình đã nghĩ đây là một bộ phim khó xem nhưng một phần vì phim ko quá nặng nề những shot quay không quá dài kèm với những câu đùa rất bất ngờ và rất duyên, lẫn những đoạn tự sự được anh Lân chăm chuốt nghe rất thơ. Thoại của phim thật sự rất hay, kèm thêm đoạn nhạc đất nước trọn niềm vui được phối lại nghe xong đã gợi cho mình 1 cảm giác gì đó. Ngoài ra thì dù các nhân vật có mâu thuẫn với nhau nhưng sức mạnh tình yêu cũng đã khiến họ thay đổi chấp nhận tin tưởng lẫn nhau, bỏ qua những khác biệt để hàn gắn tình cảm gia đình.",positive
24,Phim của bọn bắc kỳ ko thấm nổi ko xem nổi,negative
25,"Phim dễ xem, đồng thời cũng không quá đặc biệt, nếu trong nhà bạn có một người lớn tuổi hơn và một người nhỏ tuổi hơn bạn thì hãy dành thời gian nói chuyện với họ. Cùng một cảm xúc, thì hãy dành thời gian để hiểu hơn về những người thân thiết xung quanh, không cần phải xem phim này. Tìm hiểu rồi sẽ thấy cuộc đời những người xung quanh ta, có khi còn li kì hơn những nhân vật như bà Nguyện nhiều.",positive
28,"Vai gì khó, có Minh Châu. Ở Việt Nam hiếm có ai có thể thể hiện đầy đủ, trọn vẹn mà sâu sắc nội tâm phức tạp của nhân vật như NSND Minh Châu.Từng ánh mắt, từng hành động, từng thần thái, không hổ danh NSND.",positive
30,"Mn cho em hỏi có một cái âm ""Áhhh ""  của 1 người nam giới kêu lên như kiểu bị hạ gục(đại loại vậy)  xuất hiện nhiều trong phim mà em thấy đều cùng 1 âm thanh đó mà không hiểu đó là âm thanh gì mặc dù những phim đó ko liên quan đến nhau ,1 bí ẩn!!!!",neutral
31,Các diễn viên gạo cội diễn xuất vẫn chất thật đấy. NSND Minh Châu đã lâu không thấy cô diễn.,positive
43,"Ngược lại với sự tiếc nuối quá khứ một cách ám ảnh & buồn bã, mình nghĩ sự so sánh tâm lý trong bộ phim cũng chỉ mới là 1 góc nhỏ giữa 2 thời đại, mà thông qua đó, con người nên có cái nhìn về sự vô thường của cuộc sống, và bớt luyến tiếc những gì, thật ra chưa baoh thuộc về chúng ta.",neutral
44,Có ai thấy giống phim giòng sông không nhìn thấy như mình không? Có thể là do vẫn câu chuyện đấy phạm ngọc lân muốn làm lại,neutral
47,"em ấn tượng về phần hình ảnh lắm luôn, cứ siêu thực thế nào ấy nhất là đoạn ở đập thủy điện HB",positive
51,"Công nhận đôi lúc em cx nhớ về nhx kỉ niệm ngày xưa đã qua thật, nói j các ông bà mik :(((",neutral
55,"Phim Việt mà không có diễn viên hài gắn râu giả làm người già, không có diễn viên nữ chân mày ngang-mũi mọc từ trán-môi tiêm filler, không có diễn viên nam khoe múi, không khắc hoạ nhân vật người đồng tính xéo sắc mua vui, không có bài học đạo lý dạy đời thì không hay là cái chắc rồi 🤷🏻",negative
56,NHÌN CÁI MÀU PHIM THẤY NGHỆ RỒI,positive
58,"Mình may mắn được xem bộ phim này tại chính liên hoan phim Berlinale ở Berlin. Bộ phim khắc họa rất thật về những góc khuất trong cuộc sống đời thường ở Việt Nam, không khoa trương, không bóng bẩy, có một chút khắc khoải, ngột ngạt (ví dụ việc chọn tỉ lệ khung hình và gam màu đen trắng cũng đầy ý đồ), nhưng lại có chút gì đó hài hước, dễ chịu vì tuyến nhân vật ít, diễn biến cũng không quá phức tạp. Bạn trai mình người Đức xem xong thấy rất thích, nhưng bảo là phim u uất quá, về chắc trầm cảm mất mấy ngày. Nhưng mình thấy đó mới chính là thành công của phim, khi mang đến cho người xem những hỗn độn của cảm xúc qua góc nhìn rất điện ảnh. Mình nhớ lúc đó ở rạp toàn người Việt, nhưng cũng có nhiều bạn mang theo bạn bè nước ngoài như mình, và phim đã không làm mình thất vọng. Nên mình nghĩ mọi người nên đi xem phim để ủng hộ những tác phẩm như thế này. Phim có thể khó xem hơn phim thị trường, nhưng có giá trị ngẫm lại rất cao.",positive
61,Phim trắng đen ai coi .trả hiểu phim nói về vấn đề gì,negative
63,phim có nét rất giống văn bản nỗi buồn chiến tranh của Bảo Ninh đoạn miêu tả con người ta sau chiến tranh luon bị ám ảnh,neutral
64,đạo diễn VN toàn ra phim vớ vẩn.vn ta có bao nhiêu a hùng thời chiến tranh.ít có đạo diễn nào làm phim về chiến tranh.học hỏi trung quốc đi,negative
65,"Hôm qua mình đi xem về từ Ngày phim Việt Nam tại Đài Loan. Mình đồng ý với comment của một bạn nào đó là xem xong phải đọc mấy chục bài post và review thì mới hiểu về phim. Theo mình thì về màu phim, phối cảnh, và cách xây dựng câu chuyện khá tốt, mình xem mà cứ thấy khó chịu, ngột ngạt vì cái không gian trong phim, vì những phận đời như ""bên lề của xã hội"". Tuy nhiên, cách kể chuyện thực sự chưa được sâu, nhiều chi tiết lửng lơ thế nào ấy. Các diễn viên gạo cội đóng vẫn luôn hay, nhả thoại rõ ràng, cảm xúc. Các diễn viên trẻ thoại sượng, nhả chữ không rõ, diễn khá đơ. Mình cho 6/10 điểm.",negative
2,"tôi có cảm giác như hầu như đạo diễn việt đều muốn tỏ ra mình là người mang tầm vũ trụ, sánh ngang các đạo diễn tầm cỡ, xào nấu lại kịch bản theo ý mình nhưng như qq",negative
3,"em chưa đọc sách giấy nhưng mà em đã nghe truyện rồi, và thực sự là thấy phim không tới :<< em rất mong chờ đii xem nhưng mà suốt 2 tiếng xem e không có cảm xúc gì ngoài thấy cảnh phim đẹp hic :<< chắc là do e k cảm nhận được hay s nhưng mà nét diễn của các diễn viên e thấy không có tới, cảm giác cứ thiêu thiếu, lơ lửng như nào í  ( cả vai thuở bé với lúc lớn ):<< thật sự sau đọc truyện và sau khi xem phim xong nó là cảm xúc hoàn toàn trái ngược nhau, 1 cái thì nó thực sự đọng lại, 1 cái thì nó cứ trơn tuột đi hhuh .... Chỉ là cảm nhận riêng của em sau khi xem xong thôi ạ , hơi thất vọng nhiều xíu hic.",negative
4,"là fan của chú Nguyễn Nhật Ánh hơn 10 năm, sau khi xem xong bộ phim này mình chỉ nhận xét vài từ: Quay dựng đẹp, còn kịch bản quá tệ. Đọc truyện sẽ cảm được vì sao Vinh lại yêu và hy sinh cho Miền nhiêu như thế, sẽ thấy dc nội tâm của Vinh mạnh mẽ và cao thượng như thế nào. Còn trong phim không thấy được điều ấy, chỉ thấy rằng Vinh thật khờ , rụt rè và có phần yếu đuối.. Vinh trên màn ảnh và Vinh trên trang sách là 2 ng hoàn toàn khác nhau. Về các nhân vật khác mình cũng không muốn bàn luận thêm, vì nếu là fan của NNA chắc chắn sẽ nhận ra những điều ấy.",neutral
5,"Mấy phim làm về sách nguyễn nhật ánh k hay thật, k bao h đem lại cho mình cảm giác như 10 năm trước mình đọc cuốn sách đầu tiên của bác, phim làm quá công nghiệp quá nhạt nhoà",negative
6,cảnh với diễn viên đẹp quá nên quên hết tất cả,positive
8,"Phim xây dựng diễn biến nội tâm nhân vật như một trò đùa. Như kiểu xây dựng phim hướng tới đối tượng khán giả là học sinh cấp 3 vậy. Nhưng bù lại , hình ảnh và âm thanh thực sự làm mình thoả mãn, cắt vài đoạn rồi làm thành MV thì cứ gọi là tuyệt vời.",neutral
10,Phim chỉ 2 tiếng ko thể nào khai thác hết được hết 1 câu chuyện trong sách dc,neutral
12,"Đúng nha, phim làm hơi rời rạc, thua xa Mắt Biếc, người ta thích phim chỉ vì chuyện tình đẹp của truyện, chứ phim làm hơi thiếu quá nhiều..",negative
13,nói chung là phim như...,negative
14,Bé thì đọc đc nguyễn nhật ánh chứ lớn rồi thì ko thể đọc đc !!!!! Vậy nên t nghĩ sẽ ko có bộ phim nào chuyển thể có thể hay đc từ nguồn này ~,neutral
17,"Làm phim học đường chắc phải học hỏi nhiều Trung Quốc, vô cùng tự nhiên và gần gũi. Đơn cử là tác phẩm chuyển thể từ tiểu thuyết ""Năm tháng vội vã"", cả bản truyền hình hay bản điện ảnh.",positive
18,"Những người đã đọc truyện thì sẽ thấy phim fail như thế nào, nó rời rạc, đơn thuần là kể xuôi cái cốt truyện chứ chẳng làm người ta sống trong cái bối cảnh đấy và cảm nhận. Phần hình ảnh và âm thanh cố gánh cho bộ phim nhưng vẫn không xuể.",negative
19,Nguoi mien  nam lam phim chi duoc toi da 3/10 trong khi mien bac minh lam phim toan 9-10 diem,neutral
21,"Mình đã đọc qua truyện vài năm trước cũng lâu, rồi sau đó là xem phim đợt vừa rồi. Đồng tình với nhận xét của PP. Dù không nhớ quá rõ truyện 100 (do không đọc lại trước khi xem) nhưng lúc xem phim thì mình cũng chỉ thông qua phim nhớ lại được cốt truyện, một vài lớp cắt bối cảnh thôi. còn về nội tâm và sự phát triển của nhận vật mình không cảm được so với khi đọc truyện, diểm đó cũng thấy phim làm chưa tới với các lớp cắt thời gian thay đổi bối cảnh quá nhanh. Như nhân vật Vinh nội tâm và phẩm chất trong tình yêu rất đẹp cũng chưa được lột tả kỹ, phải nói là nông luôn á. Còn lại về hình ảnh thì đẹp, một phần do quay ở quê mình, PY lên màn ảnh đẹp mà nao lòng luôn. Ai chưa đọc qua truyện thì sẽ có cảm giác thoã mãn cao hơn những ai đã đọc qua tác phẩm của bác Ánh.",neutral
23,"mình thì cũng đã đọc truyện sau khi xem phim, phải công nhận là phim đã làm rất tệ trong việc phát triển nhân vật, nhiều đoạn bị cut rất khó hiểu như cái kết chẳng hạn, nó làm cho chúng ta thấy nhân vật trong phim có gì đó khá là tầm thường và bị động, đôi khi lại bồng bột. Nhưng thật sự thì mình lại khá thích phim vì phim có phần nghe nhìn làm rất tốt, các nhân vật diễn ổn, dù phim có nhiều điều chưa tốt nhưng nếu chỉ coi đây là một bộ phim độc lập tác biệt với tiểu thuyết thì mình thấy nó mang đến một trải nghiệm điện ảnh êm đềm, bình yên, chữa lành khi mà các vật, thoại, tình tiết đều đặt ở mức độ vừa phải chứ không bị đẩy lên cao trào một cách phi thực tế như phim một số phim Việt khác nên là cảm giác như bộ phim này có những tình tiết mà có thể gặp ở đâu đó ngoài đời, nó không bị quá ảo ấy. Và việc xem một bộ phim Việt có một số yếu tố mình vừa nói trên thì nó cũng làm cho phim có gì đó của sự thân thuộc. Mình nghĩ là nếu bạn chỉ đơn giản là muốn có một bộ phim xem để tìm thấy những phút giây yên bình, chill chill... thì đây là một trong những bộ phim đáng xem nhất trong nhiều năm trở lại đây của nền điện ảnh Việt",positive
25,"Có một điểm mình thấy rất sạn trong phim là khi phúc bỏ đi với cha trong đêm, ông hỏi phúc chọn ở nhà với ông nội hay đi với cha, và phúc chọn đi. Nếu có tình cảm mạnh mẽ với miền tại sao phúc lại chọn đi với cha, thêm vào đó bao nhiêu năm ông đi xa quê, phúc vẫn ở nhà với ông nội, đi với cha đâu biết cuộc sống sẽ như thế nào.",negative
26,"Mình đọc sách cách đây gần 1 năm và đã để lại ấn tượng quá mạnh, nên khi nghe sẽ có phim chuyển thể cũng rất mong chờ. Nhưng rời khỏi rạp thì mình thấy phim thiếu nhiều điều vô cùng, cũng chẳng thể khiến mình suy nghĩ nhiều như khi đọc xong truyện. Hôm mình đi xem, mình biết chắc chắn có nhiều người chưa đọc qua truyện, vì mình nghe họ trách Phúc ích kỷ và mình chỉ im lặng bởi nếu họ đọc truyện, họ sẽ hiểu thực sự Phúc là người như thế nào. Đã kì vọng vào một bộ phim hay hơn nhưng bản chuyển thể này dường như không trọn vẹn, mình hoàn toàn đồng ý với Phê Phim.",negative
27,"Chưa coi phim nhưng lướt qua thấy cast Xuân Nghị cho vai ""cậu Huân"" là hết muốn đi coi luôn =]]",negative
28,"Rõ là vẫn chưa thoát ra được những cái điểm yếu cố hữu. Đã làm phim trên nguyên tác sách, muốn xào đi nấu lại thì vẫn phải đúng nguyên tác, đây cố lắm, cố tình phải làm thế này mới chịu. Chưa cần ra rạp cũng đã thấy được phim hay hay dở, mãi mãi không thể nào làm nên một kiệt tác điện ảnh",negative
29,Tất cả tại thằng Vinh 👌,neutral
30,Nói thẳng ra là chán ngấy cái motip truyện và phim thế này rồi. Một màu và chả có gì đột phá. Nên khi thấy những title phim thế này thì thôi. Sống trong mộng tưởng chỉ quanh quẩn qua những tình yêu vùng quê và ngây thơ,negative
31," Nhân vật Vinh trong phim quá là mờ nhạt , giản lược không thể thể hiện được đầy đủ và cảm xúc những đấu tranh nội tâm như  trong truyện , ngay cả việc Vinh chấp nhận Phúc quen miền cũng là 1 cách quá thờ ơ và chấp nhận dễ dàng trong khi đó trong truyện Vinh đã đấu tranh nội tâm rất nhiều và khi đọc mình sẽ có thể thấy được sự trưởng thành của Vinh trong những suy nghĩ đó
Cảm ơn phê phim đã nói lên nỗi lòng của mình 🐡",negative
32,Mình cũng thấy thế. Phim nó cứ bị sao ý. Đặc biệt cách cư xử của từng nhân vật. Phải tôi là Vinh thì Miền chỉ có ôm đồ mà ra đi thôi chứ ai lại có ôm ny cũ thế bao h nhỉ :))))). Cơ mà điểm đáng khen nhất của phim này vẫn là nhạc kết của phim có vẻ hợp phết :))),neutral
37,Có phim nào từ truyện ông này thành phim mà hay đâu 😂,negative
39,"Mình chưa đọc truyện, chỉ xem phim thì cảm nhận được rằng phim hay, đã, cả phần nhìn, nghe và câu chuyện của phim. Với tâm lý thoải mái đón nhận khi xem, mình đã được ép phê đến cao trào cuối cùng và vỡ òa trong cái kết suýt thỏa mãn ( vì nhân vật Phúc cuối phim không được hạnh phúc, nhân vật này không xấu, phần lớn của phim nhân vật này không làm gì sai cả, đúng phân cảnh trong phòng sách cao trào cuối phim anh này sai >>> và hết phim, không có cơ hội sửa sai >>> đáng tiếc)

Dù vậy thì phim vẫn rất đáng xem, nếu kết phim làm như kết truyện thì nó không đời nữa, sẽ khuôn mẫu như sách giáo dục công dân vậy :D",positive
40,Sau hơn 10 năm đọc các thể loại  truyện Trung Quốc thì nhận thấy những tác phẩm truyện tác giả việt viết thì phải nói là truyện tác giả việt viết như là hệ tiểu học và trung học còn tác giả Trung Quốc viết thì như là một kiệt tác siêu phẩm,negative
41,Đỉnh thật,positive
42,"Mình cũng là một người đọc NXCMCT từ những năm còn học cấp 3 và cũng rất mê các tác phẩn khác của bác Nguyễn Nhật Ánh. Với bộ phim này dù khó có thể nói để chuyển thể hoàn hảo từ tác phẩm gốc nhưng khi xem phim với tâm thế nhẹ nhàng, chỉ cần một bộ phim với các yếu tốt “bình dị” như trong chuyện thì phim đã làm tạm ổn. Các điểm trừ về chiều sâu và nội tâm nhân vật có lẽ vẫn là một bài toán khó đối với các bộ phim Việt và mình cũng nhận thấy điểm yếu đó. Thế nhưng trong bối cảnh ngành phim đang cần những tác phẩm “coi được” để dần thúc đẩy ngành đi lên thì mình nghĩ bộ phim này của đạo diễn Trịnh Đình Lê Minh đã thành công phần nào. Mình nghĩ với nhiều bộ phim điểm 7 điểm 8 như này sẽ rất tốt cho nền điện ảnh nước nhà, từ đó tạo nền tảng tốt cho các bộ phim điểm 9 điểm 10. Lời nhận xét của phê phim vẫn rất đúng về lý nhưng mình nghĩ những cảm xúc hơi “tiêu cực” này nên dành cho các bộ phim dở của Việt Nam, với các bộ phim ở điểm khá thì mình hi vọng phê phim có thể tiết chế lại phần nào. Mình cũng coi các đoạn phỏng vấn của đạo diễn và diễn viên thì mình cảm thấy họ cũng đã cố gắng rất nhiều cho tác phẩm này rồi. 😊",positive
43,"Mình chưa đọc sách nhưng đối với mình, xét riêng phiên bản phim mình thấy khá ổn so với mặt bằng phim điện ảnh Việt",positive
46,*_4:54_**_ Suy nghĩ của nhân vật Vinh (trong sách) thật trượng nghĩa làm sao_* 😲👍,neutral
